GraphNo,Stadd1,aCo,bCo,cCo
437,0,1,1000,1000000
438,654,1,346,119716
438,0,1,1000,1000000
439,662,1,338,114244
439,0,1,1000,1000000
440,651,1,349,121801
440,0,1,1000,1000000
441,625,1,375,140625
441,0,1,1000,1000000
442,664,1,336,112896
442,0,1,1000,1000000
443,657,1,343,117649
443,0,1,1000,1000000
444,657,1,343,117649
444,0,1,1000,1000000
445,636,1,364,132496
445,0,1,1000,1000000
446,656,1,344,118336
446,0,1,1000,1000000
447,652,1,348,121104
447,0,1,1000,1000000
448,665,1,335,112225
448,0,1,1000,1000000
449,645,1,355,126025
449,0,1,1000,1000000
450,643,1,357,127449
450,0,1,1000,1000000
451,642,1,358,128164
451,0,1,1000,1000000
452,649,1,351,123201
452,0,1,1000,1000000
453,621,1,379,143641
453,0,1,1000,1000000
454,625,1,375,140625
454,0,1,1000,1000000
455,666,1,334,111556
455,0,1,1000,1000000
456,657,1,343,117649
456,0,1,1000,1000000
457,663,1,337,113569
457,0,1,1000,1000000
458,638,1,362,131044
458,0,1,1000,1000000
459,644,1,356,126736
459,0,1,1000,1000000
460,645,1,355,126025
460,0,1,1000,1000000
461,676,1,324,104976
461,0,1,1000,1000000
462,671,1,329,108241
462,0,1,1000,1000000
463,652,1,348,121104
463,0,1,1000,1000000
464,658,1,342,116964
464,0,1,1000,1000000
465,673,1,327,106929
465,0,1,1000,1000000
466,674,1,326,106276
466,0,1,1000,1000000
467,669,1,331,109561
467,0,1,1000,1000000
468,656,1,344,118336
468,0,1,1000,1000000
469,632,1,368,135424
469,0,1,1000,1000000
470,653,1,347,120409
470,0,1,1000,1000000
471,652,1,348,121104
471,0,1,1000,1000000
472,626,1,374,139876
472,0,1,1000,1000000
473,666,1,334,111556
473,0,1,1000,1000000
474,634,1,366,133956
474,0,1,1000,1000000
475,620,1,380,144400
475,0,1,1000,1000000
476,643,1,357,127449
476,0,1,1000,1000000
477,655,1,345,119025
477,0,1,1000,1000000
478,671,1,329,108241
478,0,1,1000,1000000
479,631,1,369,136161
479,0,1,1000,1000000
480,658,1,342,116964
480,0,1,1000,1000000
481,645,1,355,126025
481,0,1,1000,1000000
482,661,1,339,114921
482,0,1,1000,1000000
483,671,1,329,108241
483,0,1,1000,1000000
484,667,1,333,110889
484,0,1,1000,1000000
485,659,1,341,116281
485,0,1,1000,1000000
486,645,1,355,126025
486,0,1,1000,1000000
487,629,1,371,137641
487,0,1,1000,1000000
488,646,1,354,125316
488,0,1,1000,1000000
489,656,1,344,118336
489,0,1,1000,1000000
490,642,1,358,128164
490,0,1,1000,1000000
491,636,1,364,132496
491,0,1,1000,1000000
492,651,1,349,121801
492,0,1,1000,1000000
493,650,1,350,122500
493,0,1,1000,1000000
494,652,1,348,121104
494,0,1,1000,1000000
495,669,1,331,109561
495,0,1,1000,1000000
496,652,1,348,121104
496,0,1,1000,1000000
497,642,1,358,128164
497,0,1,1000,1000000
498,654,1,346,119716
498,0,1,1000,1000000
499,671,1,329,108241
499,0,1,1000,1000000
500,659,1,341,116281
500,0,1,1000,1000000
